date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:17	40103/40103	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Dec%202020%2010:51:16%20GMT	https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/index.html	C:/My%20Web%20Sites/beauty%20website/demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/index.html	(from )
16:21:17	1002/1002	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Dec%202020%2010:51:17%20GMT	https://demo.w3layouts.com/robots.txt		(from )
16:21:20	311012/311012	---M-Z	200	added ('OK')	text/css	etag:%221588152429%22	https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/assets/css/style-liberty.css	C:/My%20Web%20Sites/beauty%20website/demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/assets/css/style-liberty.css	(from https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/index.html)
16:21:22	62170/62170	---MCZ	200	added ('OK')	application/javascript	etag:W/%229f6e8e31f2c6d5c51d33f86a6cdf4b3c%22	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/beauty%20website/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/index.html)
16:21:25	93100/93100	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/My%20Web%20Sites/beauty%20website/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/index.html)
16:21:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Dec%202020%2010:51:20%20GMT	https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/beauty%20website/codefund.io/properties/441/funder.4.delayed	(from https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/index.html)
16:21:25	24793/24793	---M-Z	200	added ('OK')	application/javascript	etag:%221570541238%22	https://demo.w3layouts.com/js/autotrack.js	C:/My%20Web%20Sites/beauty%20website/demo.w3layouts.com/js/autotrack.js	(from https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/index.html)
16:21:25	3159/3159	---M-Z	200	added ('OK')	text/css	etag:%221575469126%22	https://demo.w3layouts.com/images/demobar_w3_4thDec2019.css	C:/My%20Web%20Sites/beauty%20website/demo.w3layouts.com/images/demobar_w3_4thDec2019.css	(from https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/index.html)
16:21:26	27021/27021	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Dec%202020%2010:51:26%20GMT	https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/about.html	C:/My%20Web%20Sites/beauty%20website/demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/about.html	(from https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/index.html)
16:21:27	32356/32356	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Dec%202020%2010:51:27%20GMT	https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/services.html	C:/My%20Web%20Sites/beauty%20website/demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/services.html	(from https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/index.html)
16:21:28	36514/36514	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Dec%202020%2010:51:28%20GMT	https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/blog.html	C:/My%20Web%20Sites/beauty%20website/demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/blog.html	(from https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/index.html)
16:21:29	37453/37453	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Dec%202020%2010:51:29%20GMT	https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/blog-single.html	C:/My%20Web%20Sites/beauty%20website/demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/blog-single.html	(from https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/index.html)
16:21:30	43141/43141	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Dec%202020%2010:51:29%20GMT	https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/landing-single.html	C:/My%20Web%20Sites/beauty%20website/demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/landing-single.html	(from https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/index.html)
16:21:30	22899/22899	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Dec%202020%2010:51:30%20GMT	https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/contact.html	C:/My%20Web%20Sites/beauty%20website/demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/contact.html	(from https://demo.w3layouts.com/demos_new/template_demo/29-04-2020/glory-luxe-liberty-demo_Free/947760112/web/index.html)
